Wed Oct 28 02:19:41 2020 Epoch 0, lr: 0.0001000, val loss: 149.25757, acc: 45.81000
Wed Oct 28 02:44:52 2020 Epoch 22, lr: 0.0001000, val loss: 71.65324, acc: 75.47000
Wed Oct 28 02:46:01 2020 Epoch 23, lr: 0.0001000, val loss: 69.89486, acc: 76.17000
Wed Oct 28 02:47:09 2020 Epoch 24, lr: 0.0001000, val loss: 71.35829, acc: 75.00000
Wed Oct 28 02:48:18 2020 Epoch 25, lr: 0.0001000, val loss: 70.00906, acc: 76.46000
Wed Oct 28 02:49:27 2020 Epoch 26, lr: 0.0001000, val loss: 68.82054, acc: 76.74000
Wed Oct 28 02:50:36 2020 Epoch 27, lr: 0.0001000, val loss: 67.50249, acc: 77.24000
Wed Oct 28 02:51:44 2020 Epoch 28, lr: 0.0001000, val loss: 67.71045, acc: 77.08000
Wed Oct 28 02:52:53 2020 Epoch 29, lr: 0.0001000, val loss: 68.44057, acc: 76.84000
Wed Oct 28 02:54:01 2020 Epoch 30, lr: 0.0001000, val loss: 67.50337, acc: 77.33000
Wed Oct 28 02:55:10 2020 Epoch 31, lr: 0.0001000, val loss: 67.98517, acc: 77.42000
Wed Oct 28 02:56:18 2020 Epoch 32, lr: 0.0001000, val loss: 67.19535, acc: 77.34000
Wed Oct 28 02:57:27 2020 Epoch 33, lr: 0.0001000, val loss: 67.21230, acc: 78.01000
Wed Oct 28 02:58:36 2020 Epoch 34, lr: 0.0001000, val loss: 69.19893, acc: 77.84000
Wed Oct 28 02:59:44 2020 Epoch 35, lr: 0.0001000, val loss: 64.88638, acc: 78.87000
Wed Oct 28 03:00:53 2020 Epoch 36, lr: 0.0001000, val loss: 66.69895, acc: 78.46000
Wed Oct 28 03:02:02 2020 Epoch 37, lr: 0.0001000, val loss: 66.10147, acc: 78.60000
Wed Oct 28 03:03:10 2020 Epoch 38, lr: 0.0001000, val loss: 64.60483, acc: 79.13000
Wed Oct 28 03:04:18 2020 Epoch 39, lr: 0.0001000, val loss: 68.31437, acc: 78.62000
Wed Oct 28 03:05:27 2020 Epoch 40, lr: 0.0001000, val loss: 64.75209, acc: 79.57000
Wed Oct 28 03:06:36 2020 Epoch 41, lr: 0.0001000, val loss: 64.46018, acc: 79.63000
Wed Oct 28 03:07:44 2020 Epoch 42, lr: 0.0001000, val loss: 67.03657, acc: 78.78000
Wed Oct 28 03:08:53 2020 Epoch 43, lr: 0.0001000, val loss: 67.35336, acc: 79.11000
Wed Oct 28 03:10:02 2020 Epoch 44, lr: 0.0001000, val loss: 67.63423, acc: 79.02000
Wed Oct 28 03:11:10 2020 Epoch 45, lr: 0.0001000, val loss: 67.07969, acc: 79.66000
Wed Oct 28 03:12:19 2020 Epoch 46, lr: 0.0000100, val loss: 69.18692, acc: 79.11000
Wed Oct 28 03:13:28 2020 Epoch 47, lr: 0.0000100, val loss: 64.23234, acc: 80.77000
Wed Oct 28 03:14:36 2020 Epoch 48, lr: 0.0000100, val loss: 64.81049, acc: 80.81000
Wed Oct 28 03:15:44 2020 Epoch 49, lr: 0.0000100, val loss: 65.04099, acc: 80.91000
Wed Oct 28 03:52:28 2020 Epoch 0, lr: 0.0001000, val loss: 145.21277, acc: 48.18000
Wed Oct 28 03:53:37 2020 Epoch 1, lr: 0.0001000, val loss: 130.14710, acc: 53.22000
Wed Oct 28 03:54:45 2020 Epoch 2, lr: 0.0001000, val loss: 119.99731, acc: 57.05000
Wed Oct 28 03:55:53 2020 Epoch 3, lr: 0.0001000, val loss: 113.94354, acc: 59.23000
Wed Oct 28 03:57:02 2020 Epoch 4, lr: 0.0001000, val loss: 106.74878, acc: 61.69000
Wed Oct 28 03:58:10 2020 Epoch 5, lr: 0.0001000, val loss: 104.91728, acc: 62.95000
Wed Oct 28 03:59:18 2020 Epoch 6, lr: 0.0001000, val loss: 98.78972, acc: 64.83000
Wed Oct 28 04:00:27 2020 Epoch 7, lr: 0.0001000, val loss: 96.17003, acc: 65.46000
Wed Oct 28 04:01:35 2020 Epoch 8, lr: 0.0001000, val loss: 94.82091, acc: 66.54000
Wed Oct 28 04:02:43 2020 Epoch 9, lr: 0.0001000, val loss: 96.35869, acc: 66.62000
Wed Oct 28 04:03:52 2020 Epoch 10, lr: 0.0001000, val loss: 90.63397, acc: 67.32000
Wed Oct 28 04:05:01 2020 Epoch 11, lr: 0.0001000, val loss: 86.54807, acc: 69.44000
Wed Oct 28 04:06:09 2020 Epoch 12, lr: 0.0001000, val loss: 83.59144, acc: 70.03000
Wed Oct 28 04:07:17 2020 Epoch 13, lr: 0.0001000, val loss: 84.07160, acc: 70.15000
Wed Oct 28 04:08:26 2020 Epoch 14, lr: 0.0001000, val loss: 82.46807, acc: 70.91000
Wed Oct 28 04:09:35 2020 Epoch 15, lr: 0.0001000, val loss: 79.90046, acc: 72.24000
Wed Oct 28 04:10:43 2020 Epoch 16, lr: 0.0001000, val loss: 79.96951, acc: 72.31000
Wed Oct 28 04:11:51 2020 Epoch 17, lr: 0.0001000, val loss: 78.79997, acc: 72.31000
Wed Oct 28 04:13:00 2020 Epoch 18, lr: 0.0001000, val loss: 78.89132, acc: 72.27000
Wed Oct 28 04:14:08 2020 Epoch 19, lr: 0.0001000, val loss: 74.17493, acc: 74.16000
Wed Oct 28 04:15:17 2020 Epoch 20, lr: 0.0001000, val loss: 73.21486, acc: 74.63000
Wed Oct 28 04:16:25 2020 Epoch 21, lr: 0.0001000, val loss: 73.42624, acc: 74.36000
Wed Oct 28 04:17:34 2020 Epoch 22, lr: 0.0001000, val loss: 73.11926, acc: 74.80000
Wed Jun 15 11:26:28 2022 Epoch 0, lr: 0.0001000, val loss: 189.67731, acc: 32.63000
Wed Jun 15 13:36:16 2022 Epoch 0, lr: 0.0001000, val loss: 421.68005, acc: 6.85000
Wed Jun 15 13:37:16 2022 Epoch 1, lr: 0.0001000, val loss: 390.19802, acc: 10.41000
Wed Jun 15 13:38:16 2022 Epoch 2, lr: 0.0001000, val loss: 374.36446, acc: 13.25000
Wed Jun 15 13:39:16 2022 Epoch 3, lr: 0.0001000, val loss: 353.89202, acc: 16.99000
Wed Jun 15 13:40:16 2022 Epoch 4, lr: 0.0001000, val loss: 342.58372, acc: 18.83000
Wed Jun 15 13:41:17 2022 Epoch 5, lr: 0.0000999, val loss: 328.91148, acc: 20.91000
Wed Jun 15 13:42:17 2022 Epoch 6, lr: 0.0000999, val loss: 321.97647, acc: 22.37000
Wed Jun 15 13:43:18 2022 Epoch 7, lr: 0.0000998, val loss: 314.46787, acc: 23.88000
Wed Jun 15 13:44:18 2022 Epoch 8, lr: 0.0000998, val loss: 310.92439, acc: 23.74000
Wed Jun 15 13:45:19 2022 Epoch 9, lr: 0.0000997, val loss: 302.84165, acc: 25.15000
Wed Jun 15 13:46:19 2022 Epoch 10, lr: 0.0000996, val loss: 300.10820, acc: 25.66000
Wed Jun 15 13:47:20 2022 Epoch 11, lr: 0.0000995, val loss: 291.54128, acc: 27.65000
Wed Jun 15 13:48:21 2022 Epoch 12, lr: 0.0000994, val loss: 288.57568, acc: 28.08000
Wed Jun 15 13:49:21 2022 Epoch 13, lr: 0.0000993, val loss: 283.25788, acc: 29.41000
Wed Jun 15 13:50:22 2022 Epoch 14, lr: 0.0000991, val loss: 280.16635, acc: 29.89000
Wed Jun 15 13:51:23 2022 Epoch 15, lr: 0.0000990, val loss: 274.94264, acc: 31.09000
Wed Jun 15 13:52:24 2022 Epoch 16, lr: 0.0000988, val loss: 273.25222, acc: 31.51000
Wed Jun 15 13:53:25 2022 Epoch 17, lr: 0.0000986, val loss: 269.64314, acc: 32.58000
Wed Jun 15 13:54:26 2022 Epoch 18, lr: 0.0000984, val loss: 268.50420, acc: 32.60000
Wed Jun 15 13:55:27 2022 Epoch 19, lr: 0.0000982, val loss: 259.53972, acc: 34.61000
Wed Jun 15 13:56:27 2022 Epoch 20, lr: 0.0000980, val loss: 261.72991, acc: 34.05000
Wed Jun 15 13:57:28 2022 Epoch 21, lr: 0.0000978, val loss: 255.48885, acc: 35.30000
Wed Jun 15 13:58:29 2022 Epoch 22, lr: 0.0000976, val loss: 252.16471, acc: 35.91000
Wed Jun 15 13:59:30 2022 Epoch 23, lr: 0.0000973, val loss: 252.29757, acc: 35.84000
Wed Jun 15 14:00:31 2022 Epoch 24, lr: 0.0000970, val loss: 247.92678, acc: 36.39000
Wed Jun 15 14:01:51 2022 Epoch 25, lr: 0.0000968, val loss: 246.57812, acc: 37.43000
Wed Jun 15 14:03:27 2022 Epoch 26, lr: 0.0000965, val loss: 247.21549, acc: 37.13000
Wed Jun 15 14:04:27 2022 Epoch 27, lr: 0.0000962, val loss: 245.47539, acc: 37.34000
Wed Jun 15 14:05:27 2022 Epoch 28, lr: 0.0000959, val loss: 242.39686, acc: 37.11000
Wed Jun 15 14:06:28 2022 Epoch 29, lr: 0.0000956, val loss: 243.63561, acc: 38.13000
Wed Jun 15 14:07:30 2022 Epoch 30, lr: 0.0000952, val loss: 240.52615, acc: 38.91000
Wed Jun 15 14:08:31 2022 Epoch 31, lr: 0.0000949, val loss: 234.29350, acc: 39.97000
Wed Jun 15 14:09:32 2022 Epoch 32, lr: 0.0000946, val loss: 234.28522, acc: 39.62000
Wed Jun 15 14:11:20 2022 Epoch 33, lr: 0.0000942, val loss: 233.49502, acc: 39.99000
Wed Jun 15 14:12:28 2022 Epoch 34, lr: 0.0000938, val loss: 229.96160, acc: 40.64000
Wed Jun 15 14:13:29 2022 Epoch 35, lr: 0.0000934, val loss: 228.58671, acc: 40.98000
Wed Jun 15 14:14:29 2022 Epoch 36, lr: 0.0000930, val loss: 230.21752, acc: 40.19000
Wed Jun 15 14:15:30 2022 Epoch 37, lr: 0.0000926, val loss: 226.25914, acc: 41.42000
Wed Jun 15 14:16:31 2022 Epoch 38, lr: 0.0000922, val loss: 225.50811, acc: 41.66000
Wed Jun 15 14:17:31 2022 Epoch 39, lr: 0.0000918, val loss: 222.53795, acc: 42.12000
Wed Jun 15 14:18:32 2022 Epoch 40, lr: 0.0000914, val loss: 221.46595, acc: 42.51000
Wed Jun 15 14:19:32 2022 Epoch 41, lr: 0.0000909, val loss: 220.82738, acc: 42.44000
Wed Jun 15 14:20:33 2022 Epoch 42, lr: 0.0000905, val loss: 217.29567, acc: 43.56000
Wed Jun 15 14:21:33 2022 Epoch 43, lr: 0.0000900, val loss: 216.30989, acc: 43.55000
Wed Jun 15 14:22:34 2022 Epoch 44, lr: 0.0000895, val loss: 213.45207, acc: 44.04000
Wed Jun 15 14:23:35 2022 Epoch 45, lr: 0.0000890, val loss: 212.86902, acc: 44.11000
Wed Jun 15 14:24:35 2022 Epoch 46, lr: 0.0000885, val loss: 214.47004, acc: 43.77000
Wed Jun 15 14:25:36 2022 Epoch 47, lr: 0.0000880, val loss: 213.24545, acc: 44.17000
Wed Jun 15 14:26:37 2022 Epoch 48, lr: 0.0000875, val loss: 210.42833, acc: 45.03000
Wed Jun 15 14:27:37 2022 Epoch 49, lr: 0.0000870, val loss: 207.78351, acc: 45.36000
Wed Jun 15 14:28:38 2022 Epoch 50, lr: 0.0000864, val loss: 207.76309, acc: 44.99000
